OTU_ID,SuperKingdom,Phylum,Class,Order,Family,Genus,Species
OTU1123,Eukaryota,,,,,,
OTU1124,Eukaryota,,,,,,
OTU1125,Eukaryota,,,,,,
OTU1126,Eukaryota,Chordata,,,,,
OTU1127,Eukaryota,,,,,,
OTU1128,Eukaryota,,,,,,
OTU1129,Eukaryota,,,,,,
OTU113,Eukaryota,,Eustigmatophyceae,Eustigmatales,Monodopsidaceae,Nannochloropsis,
OTU1130,Eukaryota,,,,,,
OTU1131,Eukaryota,,,,,,
OTU1132,Eukaryota,,,,,,
OTU1133,Eukaryota,,,,,,
OTU1134,Eukaryota,,,,,,
OTU1135,Eukaryota,,,,,,
OTU1136,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Hypneaceae,Hypnea,Hypnea bullata
OTU1137,Eukaryota,,,,,,
OTU1138,Eukaryota,,,,,,
OTU1139,Eukaryota,,,,,,
OTU114,Eukaryota,,,,,,
OTU1140,Eukaryota,,,,,,
OTU1141,Eukaryota,,,,,,
OTU1142,Eukaryota,,,,,,
OTU1143,Eukaryota,,,,,,
OTU1144,Eukaryota,,,,,,
OTU1145,Eukaryota,,,,,,
OTU1146,Eukaryota,Oomycota,,Pythiales,Pythiaceae,Pythium,
OTU1147,Eukaryota,,,,,,
OTU1148,Eukaryota,,,,,,
OTU1149,Eukaryota,,,,,,
OTU115,Eukaryota,,,,,,
OTU1150,Eukaryota,,,,,,
OTU1151,Eukaryota,,,,,,
OTU1152,Eukaryota,,,,,,
OTU1153,Eukaryota,,,,,,
OTU1154,Eukaryota,,,,,,
OTU1155,Eukaryota,,,,,,
OTU1156,Eukaryota,,,,,,
OTU1157,Eukaryota,,,,,,
OTU1158,Eukaryota,Arthropoda,,,,,
OTU1159,Eukaryota,,,,,,
OTU116,Eukaryota,,Chrysophyceae,Chromulinales,Chromulinaceae,Spumella,Spumella_vulgaris
OTU1160,Eukaryota,,,,,,
OTU1161,Eukaryota,,,,,,
OTU1162,Eukaryota,,,,,,
OTU1163,Eukaryota,,,,,,
OTU1164,Eukaryota,,,,,,
OTU1165,Eukaryota,,,,,,
OTU1166,Eukaryota,,,,,,
OTU1167,Eukaryota,,,,,,
OTU1168,Eukaryota,,,,,,
OTU1169,Eukaryota,,,,,,
OTU117,Eukaryota,,,,,,
OTU1170,Eukaryota,,,,,,
OTU1171,Eukaryota,,,,,,
OTU1172,Eukaryota,,,,,,
OTU1173,Eukaryota,,,,,,
OTU1174,Eukaryota,,,,,,
OTU1175,Eukaryota,Bryozoa,Phylactolaemata,,Lophopodidae,Asajirella,Asajirella_gelatinosa
OTU1176,Eukaryota,,,,,,
OTU1177,Eukaryota,,,,,,
OTU1178,Eukaryota,,,,,,
OTU1179,Eukaryota,,,,,,
OTU118,Eukaryota,,,,,,
OTU1180,Eukaryota,,,,,,
OTU1181,Eukaryota,,,,,,
OTU1182,Eukaryota,,,,,,
OTU1183,Eukaryota,,,,,,
OTU1184,Eukaryota,,,,,,
OTU1185,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,,
OTU1186,Eukaryota,,,,,,
OTU1187,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,,
OTU1188,Eukaryota,,,,,,
OTU1189,Eukaryota,,,,,,
OTU119,Eukaryota,,,,,,
OTU1190,Eukaryota,,,,,,
OTU1191,Eukaryota,,,,,,
OTU1192,Eukaryota,Basidiomycota,Agaricomycetes,,,,
OTU1193,Eukaryota,,,,,,
OTU1194,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana
OTU1195,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,
OTU1196,Eukaryota,,,,,,
OTU1197,Eukaryota,,,,,,
OTU1198,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,
OTU1199,Eukaryota,Blastocladiomycota,,,,,
OTU12,Eukaryota,,,,,,
OTU120,Eukaryota,,,,,,
OTU1200,Eukaryota,,,,,,
OTU1201,Eukaryota,,,,,,
OTU1202,Eukaryota,,,,,,
OTU1203,Eukaryota,Chordata,Actinopteri,Cypriniformes,,,
OTU1204,Eukaryota,,,,,,
OTU1205,Eukaryota,,,,,,
OTU1206,Eukaryota,,,,,,
OTU1207,Eukaryota,Discosea,Flabellinia,,Vannellidae,Clydonella,Clydonella_sawyeri
OTU1208,Eukaryota,,Bigyra,Bicosoecida,,Cafileria,Cafileria_marina
OTU1209,Eukaryota,,,,,,
OTU121,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Paraliales,Paraliaceae,Paralia,Paralia sulcata
OTU1210,Eukaryota,Arthropoda,Insecta,Hemiptera,Aphididae,,
OTU1211,Eukaryota,,,,,,
OTU1212,Eukaryota,,,,,,
