OTU_ID	NCBI_SuperKingdom	NCBI_Phylum	NCBI_Class	NCBI_Order	NCBI_Family	NCBI_Genus	NCBI_Species	lowest_taxa_annotation	kingdom	phylum	class	order	family	genus	species	scientificName	taxonRank	verbatimIdentification
560	OTU1501	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
561	OTU1502	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
562	OTU1503	Eukaryota	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Paxillus	Paxillus involutus	Paxillus involutus	Fungi	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Paxillus	Paxillus involutus	Paxillus involutus (Batsch) Fr.	species	NCBI_annotation|do:Eukaryota|p:Basidiomycota|c:Agaricomycetes|o:Boletales|f:Paxillaceae|g:Paxillus|s:Paxillus involutus
563	OTU1504	Eukaryota	Arthropoda						Arthropoda	Animalia	Arthropoda						Arthropoda	phylum	NCBI_annotation|do:Eukaryota|p:Arthropoda|c:NA|o:NA|f:NA|g:NA|s:NA
564	OTU1505	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
565	OTU1506	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
566	OTU1507	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
567	OTU1508	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
568	OTU1509	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Solieriaceae			Solieriaceae	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Solieriaceae			Solieriaceae	family	NCBI_annotation|do:Eukaryota|p:Rhodophyta|c:Florideophyceae|o:Gigartinales|f:Solieriaceae|g:NA|s:NA
569	OTU151	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
570	OTU1510	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
571	OTU1511	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
572	OTU1512	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
573	OTU1513	Eukaryota	Oomycota		Peronosporales	Peronosporaceae			Peronosporaceae	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae			Peronosporaceae	family	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Peronosporales|f:Peronosporaceae|g:NA|s:NA
574	OTU1514	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
575	OTU1515	Eukaryota	Platyhelminthes	Rhabditophora	Macrostomida	Macrostomidae	Macrostomum	Macrostomum pseudosinense	Macrostomum pseudosinense	Animalia	Platyhelminthes	Turbellaria		Macrostomidae	Macrostomum	Macrostomum pseudosinense	Macrostomum pseudosinense Wang & Zhang, 2021	species	NCBI_annotation|do:Eukaryota|p:Platyhelminthes|c:Rhabditophora|o:Macrostomida|f:Macrostomidae|g:Macrostomum|s:Macrostomum pseudosinense
576	OTU1516	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
577	OTU1517	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
578	OTU1518	Eukaryota	Oomycota		Pythiales	Pythiaceae	Pythium		Pythium	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium		Pythium Pringsheim, 1858	genus	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Pythiales|f:Pythiaceae|g:Pythium|s:NA
579	OTU1519	Eukaryota	Oomycota						Oomycota	Chromista	Oomycota						Oomycota	phylum	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:NA|f:NA|g:NA|s:NA
580	OTU152	Eukaryota	Mollusca	Gastropoda	Stylommatophora	Dyakiidae	Rhinocochlis	Rhinocochlis nasuta	Rhinocochlis nasuta	Animalia	Mollusca	Gastropoda	Stylommatophora	Dyakiidae	Rhinocochlis	Rhinocochlis nasuta	Rhinocochlis nasuta (Metcalfe, 1852)	species	NCBI_annotation|do:Eukaryota|p:Mollusca|c:Gastropoda|o:Stylommatophora|f:Dyakiidae|g:Rhinocochlis|s:Rhinocochlis nasuta
581	OTU1520	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
582	OTU1521	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
583	OTU1522	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
584	OTU1523	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
585	OTU1524	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
586	OTU1525	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
587	OTU1526	Eukaryota	Rhodophyta	Florideophyceae					Florideophyceae	Plantae	Rhodophyta	Florideophyceae					Florideophyceae	class	NCBI_annotation|do:Eukaryota|p:Rhodophyta|c:Florideophyceae|o:NA|f:NA|g:NA|s:NA
588	OTU1527	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
589	OTU1528	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
590	OTU1529	Eukaryota	Arthropoda						Arthropoda	Animalia	Arthropoda						Arthropoda	phylum	NCBI_annotation|do:Eukaryota|p:Arthropoda|c:NA|o:NA|f:NA|g:NA|s:NA
591	OTU153	Eukaryota	Oomycota		Pythiales	Pythiaceae	Pythium		Pythium	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium		Pythium Pringsheim, 1858	genus	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Pythiales|f:Pythiaceae|g:Pythium|s:NA
592	OTU1530	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
593	OTU1531	Eukaryota	Rhodophyta	Florideophyceae					Florideophyceae	Plantae	Rhodophyta	Florideophyceae					Florideophyceae	class	NCBI_annotation|do:Eukaryota|p:Rhodophyta|c:Florideophyceae|o:NA|f:NA|g:NA|s:NA
594	OTU1532	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
595	OTU1533	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
596	OTU1534	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
597	OTU1535	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
598	OTU1536	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
599	OTU1537	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
600	OTU1538	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
601	OTU1539	Eukaryota	Oomycota						Oomycota	Chromista	Oomycota						Oomycota	phylum	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:NA|f:NA|g:NA|s:NA
602	OTU154	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
603	OTU1540	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
604	OTU1541	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
605	OTU1542	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
606	OTU1543	Eukaryota	Discosea	Himatismenida			Parvamoeba	Parvamoeba_rugata	Parvamoeba_rugata	Protozoa	Amoebozoa	Discosea	Himatismenida	Cochliopodiidae	Parvamoeba	Parvamoeba rugata	Parvamoeba rugata Rogerson, 1993	species	NCBI_annotation|do:Eukaryota|p:Discosea|c:Himatismenida|o:NA|f:NA|g:Parvamoeba|s:Parvamoeba_rugata
607	OTU1544	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
608	OTU1545	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
609	OTU1546	Eukaryota	Oomycota		Myzocytiopsidales	Myzocytiopsidaceae	Chlamydomyzium	Chlamydomyzium_anomalum	Chlamydomyzium_anomalum	Chromista	Oomycota	Peronosporea	Peronosporales	Myzocytiopsidaceae	Chlamydomyzium	Chlamydomyzium anomalum	Chlamydomyzium anomalum (G.L.Barron) M.W.Dick	species	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Myzocytiopsidales|f:Myzocytiopsidaceae|g:Chlamydomyzium|s:Chlamydomyzium_anomalum
610	OTU1547	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
611	OTU1548	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
612	OTU1549	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
613	OTU155	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
614	OTU1550	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
615	OTU1551	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
616	OTU1552	Eukaryota	Arthropoda	Insecta	Hemiptera				Hemiptera	Animalia	Arthropoda	Insecta	Hemiptera				Hemiptera	order	NCBI_annotation|do:Eukaryota|p:Arthropoda|c:Insecta|o:Hemiptera|f:NA|g:NA|s:NA
617	OTU1553	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
618	OTU1554	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
619	OTU1555	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
620	OTU1556	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
621	OTU1557	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
622	OTU1558	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
623	OTU1559	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
624	OTU156	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
625	OTU1560	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
626	OTU1561	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
627	OTU1562	Eukaryota	Oomycota		Peronosporales	Peronosporaceae	Phytophthora	Phytophthora_versiformis	Phytophthora_versiformis	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora versiformis	Phytophthora versiformis T.Paap & T.I.Burgess	species	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Peronosporales|f:Peronosporaceae|g:Phytophthora|s:Phytophthora_versiformis
628	OTU1563	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
629	OTU1564	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
630	OTU1565	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
631	OTU1566	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
632	OTU1567	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
633	OTU1568	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
634	OTU1569	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
635	OTU157	Eukaryota	Oomycota		Pythiales	Pythiaceae	Pythium		Pythium	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium		Pythium Pringsheim, 1858	genus	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Pythiales|f:Pythiaceae|g:Pythium|s:NA
636	OTU1570	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
637	OTU1571	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
638	OTU1572	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
639	OTU1573	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
640	OTU1574	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
641	OTU1575	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
642	OTU1576	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
643	OTU1577	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
644	OTU1578	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
645	OTU1579	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
646	OTU158	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
647	OTU1580	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
648	OTU1581	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
649	OTU1582	Eukaryota	Mollusca						Mollusca	Animalia	Mollusca						Mollusca	phylum	NCBI_annotation|do:Eukaryota|p:Mollusca|c:NA|o:NA|f:NA|g:NA|s:NA
650	OTU1583	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
651	OTU1584	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
652	OTU1585	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
653	OTU1586	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
654	OTU1587	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
655	OTU1588	Eukaryota	Rhodophyta	Florideophyceae					Florideophyceae	Plantae	Rhodophyta	Florideophyceae					Florideophyceae	class	NCBI_annotation|do:Eukaryota|p:Rhodophyta|c:Florideophyceae|o:NA|f:NA|g:NA|s:NA
656	OTU1589	Eukaryota	Oomycota		Peronosporales	Peronosporaceae	Hyaloperonospora	Hyaloperonospora_cardaminesenneaphyllos	Hyaloperonospora_cardaminesenneaphyllos	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Hyaloperonospora	Hyaloperonospora cardamines-enneaphyllos	Hyaloperonospora cardamines-enneaphyllos Voglmayr	species	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Peronosporales|f:Peronosporaceae|g:Hyaloperonospora|s:Hyaloperonospora_cardaminesenneaphyllos
657	OTU159	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
658	OTU1590	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
659	OTU1591	Eukaryota	Basidiomycota	Agaricomycetes					Agaricomycetes	Fungi	Basidiomycota	Agaricomycetes					Agaricomycetes	class	NCBI_annotation|do:Eukaryota|p:Basidiomycota|c:Agaricomycetes|o:NA|f:NA|g:NA|s:NA
660	OTU1592	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
661	OTU1593	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
662	OTU1594	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
663	OTU1595	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
664	OTU1596	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
665	OTU1597	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
666	OTU1598	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
667	OTU1599	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
668	OTU16	Eukaryota	Streptophyta	Magnoliopsida					Magnoliopsida	Plantae	Tracheophyta	Magnoliopsida					Magnoliopsida	class	NCBI_annotation|do:Eukaryota|p:Streptophyta|c:Magnoliopsida|o:NA|f:NA|g:NA|s:NA
669	OTU160	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
670	OTU1600	Eukaryota	Bacillariophyta						Bacillariophyta	Chromista	Ochrophyta	Bacillariophyceae					Bacillariophyta	class	NCBI_annotation|do:Eukaryota|p:Bacillariophyta|c:NA|o:NA|f:NA|g:NA|s:NA
671	OTU1601	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
672	OTU1602	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
673	OTU1603	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
674	OTU1604	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
675	OTU1605	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
676	OTU1606	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
677	OTU1607	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
678	OTU1608	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
679	OTU1609	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
680	OTU161	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
681	OTU1610	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
682	OTU1611	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
683	OTU1612	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
684	OTU1613	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
685	OTU1614	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
686	OTU1615	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
687	OTU1616	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
688	OTU1617	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
689	OTU1618	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
690	OTU1619	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
691	OTU162	Eukaryota	Chordata	Actinopteri	Cypriniformes	Xenocyprididae			Xenocyprididae	Animalia	Chordata		Cypriniformes	Xenocyprididae			Xenocyprididae	family	NCBI_annotation|do:Eukaryota|p:Chordata|c:Actinopteri|o:Cypriniformes|f:Xenocyprididae|g:NA|s:NA
692	OTU1620	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
693	OTU1621	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
694	OTU1622	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
695	OTU1623	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	Marasmius crinisequi	Marasmius crinisequi	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	Marasmius crinis-equi	Marasmius crinis-equi F.Muell. ex Kalchbr.	species	NCBI_annotation|do:Eukaryota|p:Basidiomycota|c:Agaricomycetes|o:Agaricales|f:Marasmiaceae|g:Marasmius|s:Marasmius crinisequi
696	OTU1624	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
697	OTU1625	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
698	OTU1626	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
699	OTU1627	Eukaryota					Chrysoparadoxa	Chrysoparadoxa_australica	Chrysoparadoxa_australica	Chromista	Ochrophyta			Chrysoparadoxaceae	Chrysoparadoxa	Chrysoparadoxa australica	Chrysoparadoxa australica Wetherbee, 2018	species	NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:Chrysoparadoxa|s:Chrysoparadoxa_australica
700	OTU1628	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
701	OTU1629	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
702	OTU163	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
703	OTU1630	Eukaryota	Arthropoda						Arthropoda	Animalia	Arthropoda						Arthropoda	phylum	NCBI_annotation|do:Eukaryota|p:Arthropoda|c:NA|o:NA|f:NA|g:NA|s:NA
704	OTU1631	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
705	OTU1632	Eukaryota	Arthropoda						Arthropoda	Animalia	Arthropoda						Arthropoda	phylum	NCBI_annotation|do:Eukaryota|p:Arthropoda|c:NA|o:NA|f:NA|g:NA|s:NA
706	OTU1633	Eukaryota	Streptophyta	Magnoliopsida					Magnoliopsida	Plantae	Tracheophyta	Magnoliopsida					Magnoliopsida	class	NCBI_annotation|do:Eukaryota|p:Streptophyta|c:Magnoliopsida|o:NA|f:NA|g:NA|s:NA
707	OTU1634	Eukaryota	Oomycota		Peronosporales	Peronosporaceae	Pseudoperonospora		Pseudoperonospora	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Pseudoperonospora		Pseudoperonospora Rostovzev, 1903	genus	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Peronosporales|f:Peronosporaceae|g:Pseudoperonospora|s:NA
708	OTU1635	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
709	OTU1636	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
710	OTU1637	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
711	OTU1638	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
712	OTU1639	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
713	OTU164	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
714	OTU1640	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
715	OTU1641	Eukaryota	Oomycota						Oomycota	Chromista	Oomycota						Oomycota	phylum	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:NA|f:NA|g:NA|s:NA
716	OTU1642	Eukaryota	Arthropoda						Arthropoda	Animalia	Arthropoda						Arthropoda	phylum	NCBI_annotation|do:Eukaryota|p:Arthropoda|c:NA|o:NA|f:NA|g:NA|s:NA
